text,label
"HDFC Bank traded 2.25M shares today, opening at Rs 1,998 and reaching Rs 2,004.8. Despite declines, it remains 2.04% from its 52-week high; delivery volumes rose 11.6%.",NEUTRAL
"Day Trading Guide for July 11, 2025, offers intraday levels for Nifty Futures, Reliance, Infosys, SBI, HDFC Bank, and others. Recommendations based on technical analysis include entry/exit levels and stop loss guidance for stocks like ITC, ONGC, and TCS.",NEUTRAL
"HDFC Bank live updates: LTP 2011.2, MCap 1539014.8, Vol 6930714. P/E ratio 21.8, EPS 92.3; insights on market trends and analysis.",NEUTRAL
"Indian banks gained market cap in Q1FY26 despite credit growth slowdown, with HDFC Bank up 9.7% and ICICI Bank up 7.4%. AU Small Finance Bank led with a 53.1% increase, while UCO Bank saw the biggest loss, down 9.2% in market cap.",POSITIVE
"Credit growth slowed in Q1FY26; HDFC Bank's loan growth at 6.7%, Yes Bank's at 5.1%. PSU banks outpaced private banks; corporates shifted to capital markets, raising ₹15.7L crore in FY25.",NEGATIVE
"HDFC Bank anchors Rs 532 cr NCD issue for Adani Energy's WRSS XXI with a 7.7% coupon, maturing in 2043. WRSS XXI aims to refinance costlier debt and support Gujarat's renewable energy transmission projects.",POSITIVE
"TCS to start Q1FY26 earnings season on July 10, reflecting IT sector's FY26 trajectory. Key Q1 dates: Infosys on July 23, HDFC Bank July 19, Nestlé July 24; focus on growth metrics.",NEUTRAL
"HDFC Bank and other financial entities report Q1 earnings. Implications for HDFC Bank, BoB, and L&T Finance are highlighted.",NEUTRAL
"M-cap of six top firms dropped Rs 70,325.5 cr; HDFC, ICICI lead losses. Reliance, Infosys, SBI, and Hindustan Unilever gained in market valuation.",NEGATIVE
"Odisha govt reinstates ICICI Bank, Axis Bank, and HDFC Bank for state business. The decision follows assurances to improve priority lending and credit-deposit ratios.",POSITIVE
SC declines to quash FIR against HDFC Bank MD Sashidhar Jagdishan. Bombay HC to hear the Lilavati Trust case involving him on 14 July.,NEGATIVE
HDFC Bank's Q1 updates raise questions on potential stock impacts.,NEUTRAL
HDFC Bank's avg deposits rose 16% YoY to Rs 26.58L cr in June'25. CASA deposits grew 6.1% YoY to Rs 8.6L cr as of June'25.,POSITIVE
"HDFC Bank's Rs 2000 put options saw 8,693 contracts traded, turnover Rs 1,646.6L. Stock, at Rs 1985.9, is 1.66% below its 52-week high of Rs 2027.1.",NEUTRAL
"HDFC Bank traded 8.4M shares with Rs 168.03 crore value, market cap Rs 15.23L crore. Stock outperformed sector by 0.5%, trading above key averages but below 5-day average.",NEUTRAL
HDFC Bank reports 7% YoY growth in advances in Q1. The bank also shows strong deposit growth during the quarter.,POSITIVE
"Macquarie forecasts 15% EPS CAGR for banks over 3 years, favoring private banks. Top picks include HDFC Bank, Axis, AB Capital, PFC, and Shriram Finance.",POSITIVE
"Day Trading Guide lists key supports, resistances for Nifty Futures, Reliance, Infosys, HDFC Bank, SBI, TCS. Technical analysis suggests trading strategies with entry, stop-loss levels; risk of loss emphasized.",NEUTRAL
"LIC holds a 10.7% stake in NSE worth ₹66,319 Cr, ranking it fifth in LIC's portfolio. Top LIC stakes include Reliance ₹1.34 L Cr, ITC ₹80,874 Cr, HDFC Bank ₹72,180 Cr, and SBI ₹68,031 Cr.",NEUTRAL
HDFC Bank's arm HDB Financial debuts with 13% premium on D-Street.,POSITIVE
"Emkay Global gives HDB Financial its first 'Buy' rating, predicting a 22% price upside. HDB Financial is the non-bank financial arm of HDFC Bank.",POSITIVE
"Nifty Bank index fell 0.23% to 57312.75; top gainers included PNB (+3.9%), BoB (+3.1%), Canara Bank (+2.9%). Top losers were Axis Bank (-2.1%), Kotak Mahindra (-2%), ICICI Bank (-1.1%), and HDFC Bank (-0.7%).",NEGATIVE
"9 of top-10 BSE firms added Rs 2.34 lakh cr in market cap; Airtel led with Rs 51,860.7 cr rise. Infosys was the only top-10 firm to see a decline, losing Rs 5,494.8 cr in market cap.",NEUTRAL
"HDFC Bank loan scam grows from Rs 4.3 cr to Rs 20 cr; EOW takes over. 63 more suspicious loans found, allegedly involving bank staff in the fraud.",NEGATIVE
"HDB Financial Services IPO ends with 16.7x subscription; retail booked 1.4x. IPO raised Rs 12,500 cr; shares to be listed tentatively on July 2.",POSITIVE
"HDFC returns to public markets with HDB Financial's ₹12,500cr IPO. HDB Financial Services is a smaller version of HDFC Bank's business.",POSITIVE
"Credila Financial Services files for ₹50B IPO, including ₹30B fresh issue. HDFC Bank and Kopvoorn B.V. to divest ₹20B shares in the IPO.",NEUTRAL
Bombay HC benches recuse from hearing HDFC Bank CEO's plea to quash fraud FIR. FIR filed against Sashidhar Jagdishan by Lilavati Kirtilal Mehta Medical Trust.,NEGATIVE
HDFC Bank shares display their best performance since 2019. Future moves for HDFC Bank stock remain a key focus.,POSITIVE
"Sensex up 1.1%, Nifty 1% as rally extends with Reliance, HDFC Bank leading. Broad-based gains seen in energy, banking, IT; strong earnings and macro boost sentiment.",POSITIVE
HDFC Bank reduces FD rates by 25 bps effective June 25; savings rates cut to 2.50% p.a. from 2.75% p.a. Revised FD rates range from 2.75% to 6.60% for general customers; senior citizens earn 3.25% to 7.10%.,NEGATIVE
"HDB Financial Services IPO live updates on GMP, subscription status, and review date. Investors weigh applying to HDFC Bank's subsidiary IPO as details unfold.",NEUTRAL
"HDFC Bank, HDFC Life, Grasim hit record highs on Thursday. Max Health, Bharti Airtel, AU Small Finance also reached new highs intra-day.",POSITIVE
"HDFC Bank announces Rs 22/share final dividend; record date set for June 27, purchase cutoff June 26. FY25 PAT at Rs 707.9B; shares surged 12% YTD, hitting Rs 1,999.9 52-week high.",POSITIVE
"HDFC Bank and Bharti Airtel hit all-time highs as Nifty rises to 25,400.",POSITIVE
"HDFC Bank saw notable trading activity with 2.4M shares traded worth Rs 48 crore. The stock gained 2.03% over 3 days, trading above key moving averages despite lower investor participation.",POSITIVE
HDFC Bank observes early signs of structural turnaround in PSU banks. HDFC Securities shared insights on PSU banks via CNBC TV18.,NEUTRAL
"HDFC Bank, Bajaj Finserv, Cipla set June 27 as record date for dividends. Investors must buy shares by June 26 to qualify for dividends; ex-date starts Friday.",NEUTRAL
"Day trading guide offers support/resistance levels for Nifty futures, Reliance, Infosys, HDFC Bank, SBI, TCS, ITC, and ONGC. Recommendations include entry and stop-loss levels; risks based on technical analysis highlighted for June 26, 2025.",NEUTRAL
"BLS E Services surged 5% after its unit signed a Rs 6.5 crore deal to acquire 1,480 SBI and HDFC Bank CSPs. The strategic move expands its financial inclusion services, targeting underserved regions and handling Rs 8,300 crore in transactions annually.",NEUTRAL
"RBI plans a 7-day VRRR auction on June 27 to absorb excess liquidity of Rs 1 lakh crore. Bank and NBFC stocks trade mixed; HDFC Bank, PNB gain, while Axis Bank and Kotak fall.",POSITIVE
"HDB Financial, a subsidiary of HDFC Bank, raised ₹3,368 Cr via anchor investors in its IPO.",POSITIVE
"HDB Financial plans Rs 12,500 cr raise via IPO; HDFC stake to reduce to 74.2% from 94.3%. Gross loans grew 23.5% to Rs 1,06,877.6 cr; NIM fell to 7.6%, RoA impacted by higher credit costs.",NEGATIVE
HDFC Bank's LTP is 1960.9; market cap stands at ₹1500524.2 Cr. Trading volume hits 11312661; P/E ratio is 21.2; EPS at ₹92.5.,NEUTRAL
"Nifty June futures closed at 25,090, a 45.65-point premium to Nifty's cash close at 25,044.35. Reliance, Infosys, and HDFC Bank were top traded contracts; Nifty rose 72.45 points to 25,044.35.",NEUTRAL
HDFC Bank's board will meet on July 19 to approve Q1 FY26 results.,NEUTRAL
"Nifty Bank index fell 0.54% to 55,949.05; ICICI Bank, Axis Bank led losses. Shares like Happiest Minds, Tata Motors show upside potential; several stocks hit 52-week highs/lows.",NEUTRAL
"YES Bank recovers Rs 201 crore via NPA settlement, triggering disclosure under Regulation 30. Moody's upgrades YES Bank's rating to Ba2 with Stable outlook; RBI extends MD Prashant Kumar's term.",NEUTRAL
"Sensex and Nifty50 surged 1.3% each; TCS, HUL, HDFC Bank, and BEL among key stocks to track. Granules, Waaree Energies, and Dalmia Bharat to focus on developments; AB Lifestyle Brands debuts in T2T.",NEUTRAL
"Lilavati Trust files Rs 1,000-cr defamation suit against HDFC Bank and CEO Sashidhar Jagdishan. Trust alleges smear campaign, bribery, and malicious statements; FIR registered by Bandra police.",NEGATIVE
"HDFC Bank rises 1.1% to Rs 1956.2, marking its third straight session gain. The stock has surged 17.4% YoY, outperforming NIFTY's 6.5% and Nifty Bank's 8.7% gains.",POSITIVE
"HDB Financial Services sets IPO price band at Rs 700-740/share with Rs 12,500-cr issue to open June 25. IPO includes Rs 2,500-cr fresh issue & Rs 10,000-cr OFS; listing expected on BSE & NSE July 2.",POSITIVE
"Sensex opened at 81,354, down 6.7 pts; Nifty at 24,787, slipping 5.6 pts. HDFC Bank, Nestle India are key stocks in focus amid global updates.",NEUTRAL
"HDFC Bank's NBFC arm, HDB Financial Services, sees up to 30% lower valuation ahead of June 25 IPO. RBI circular overhang impacts HDB Financial Services' valuation, as per investment banking sources.",NEGATIVE
HDFC Bank IPO price band set at Rs. 700-740/share; min bid lot 20 shares. Parent bank approved share transfer for Offer for Sale; shares in escrow.,NEUTRAL
"HDFC Bank's subsidiary HDB Financial files RHP for IPO on June 19, 2025. The filing was submitted to RoC Gujarat; exchanges were duly informed.",NEUTRAL
"India's IPO market set for a busy week with Rs 15,000 cr in deals; HDB Financial leads with Rs 1.4 bn IPO. Ellenbarrie aims to raise Rs 8.52 bn; Kalpataru targets Rs 15.9 bn amid Nifty's 12% rally since March lows.",POSITIVE
"Day Trading Guide highlights intraday supports/resistances for Nifty Futures, Reliance, Infosys, HDFC Bank, TCS, SBI. Recommendations include entry/stop-loss levels; trading based on technical analysis carries risk of loss.",NEUTRAL
"HDFC Bank's Chief HR Officer, Vinay Razdan, resigns effective June 18, 2025. The resignation details are disclosed under Regulation 30 of SEBI LODR Rules.",NEGATIVE
"Nifty 50 dragged by HDFC Bank (-9.36 pts), Kotak (-4.33 pts), JSW Steel (-2.65 pts). Bajaj Finance, NTPC, and Bharti Airtel also contributed to index decline; EPS rose from 6.36 to 7.85.",NEGATIVE
"HDFC Bank allotted 70,56,247 equity shares under its ESOS to employees. Paid-up share capital increased to Rs. 7,66,79,13,646 from Rs. 7,66,08,57,399.",POSITIVE
"SBI, HDFC Bank, and ICICI Bank cut savings account rates post RBI's 50 bps repo rate cut. SBI offers 2.5%, while HDFC and ICICI provide a uniform 2.75% across all balances.",NEGATIVE
"HDFC Bank confirms interest payment on NCDs under SEBI Reg. 57. Interest of Rs. 84.8 cr and Rs. 137.6 cr paid on June 16, 2025.",POSITIVE
"Mirae Asset MF holds ITC and HDFC Bank in its top 10 stocks as of May. The fund's AUM stood at Rs 2.07 lakh crore, managing 82 schemes.",POSITIVE
HDFC Bank shares increase amid reports on HDB Financial's IPO timeline.,POSITIVE
"HDB Financial Services, a subsidiary of HDFC Bank, plans a ₹12,500 crore IPO by June end.",POSITIVE
"The market cap of 8 top firms fell by ₹1.65 trillion, with HDFC Bank leading losses. The BSE benchmark dropped 1,070.39 points or 1.3% last week, reflecting a bearish trend.",NEGATIVE
"Stocks to watch on June 12: HDFC Bank, Nazara, IEX, MCX, Hind Copper. Markets may open flat. GIFT Nifty futures were up 19 points at 25,231 as of 8:00 AM.",NEUTRAL
"Day trading guide for June 12, 2025, offers intraday supports and resistances for Nifty50 stocks like HDFC Bank, Infosys, ITC, ONGC, Reliance Ind., SBI, and TCS. Recommendations include going short on HDFC Bank at 1955, long on Infosys at 1615, long on ITC above 429, long on ONGC at 246, and long on TCS above 3490.",NEGATIVE
"HDFC Bank ADR premium surged over 10% as foreign investors show renewed interest. Previously, the ADR premium failed to rise above 5% last year.",POSITIVE
HDFC Bank denies false allegations by Lilavati Kirtilal Mehta Medical Trust trustees. The bank asserts compliance with laws and ethics and plans legal action against accusers.,NEGATIVE
"Punjab de-empanels HDFC Bank due to lack of cooperation and order implementation failures. The state lists 23 empanelled banks, including SBI, ICICI, and Axis. The Centre cut Punjab's borrowing limit by Rs 16,676 crore, impacting the state's financial stability. Punjab's liabilities include unpaid power subsidies and previous borrowings.",NEGATIVE
